year,hbr,admission_type,age_group,sex,diagnosis,number_of_discharges,crude_rate,easr,hb_name
2013,S08000030,Emergency,All,Female,Cerebrovascular Disease,507,238.9683355,212.9321849,Tayside
2013,S08000030,Emergency,All,Female,Stroke,333,156.955534,138.4733868,Tayside
2013,S08000030,Emergency,All,Female,Subarachnoid Haemorrhage,34,16.02548996,15.97843573,Tayside
2013,S08000030,Emergency,All,Female,TIAs and related syndromes,72,33.93633167,30.10414532,Tayside
2013,S08000030,Emergency,0-44 years,All,Cerebrovascular Disease,37,17.01595361,18.66790772,Tayside
2013,S08000030,Emergency,0-44 years,All,Stroke,20,9.19781276,9.71837197,Tayside
2013,S08000030,Emergency,0-44 years,All,Subarachnoid Haemorrhage,10,4.59890638,5.409170181,Tayside
2013,S08000030,Emergency,0-44 years,All,TIAs and related syndromes,5,2.29945319,2.563909589,Tayside
2013,S08000030,Emergency,0-44 years,Male,Cerebrovascular Disease,14,12.85984605,14.58126638,Tayside
2013,S08000030,Emergency,0-44 years,Male,Stroke,9,8.267043889,9.303984586,Tayside
2013,S08000030,Emergency,0-44 years,Male,Subarachnoid Haemorrhage,1,0.918560432,1.24225807,Tayside
2013,S08000030,Emergency,0-44 years,Male,TIAs and related syndromes,3,2.755681296,3.02418756,Tayside
2013,S08000030,Emergency,0-44 years,Female,Cerebrovascular Disease,23,21.1831235,22.75454906,Tayside
2013,S08000030,Emergency,0-44 years,Female,Stroke,11,10.13105906,10.13275935,Tayside
2013,S08000030,Emergency,0-44 years,Female,Subarachnoid Haemorrhage,9,8.289048325,9.576082292,Tayside
2013,S08000030,Emergency,0-44 years,Female,TIAs and related syndromes,2,1.842010739,2.103631618,Tayside
2013,S08000030,Emergency,45-64 years,All,Cerebrovascular Disease,206,183.0053747,184.3025579,Tayside
2013,S08000030,Emergency,45-64 years,All,Stroke,122,108.3818238,109.612085,Tayside
2013,S08000030,Emergency,45-64 years,All,Subarachnoid Haemorrhage,27,23.98614134,23.82557655,Tayside
2013,S08000030,Emergency,45-64 years,All,TIAs and related syndromes,32,28.42801937,28.6108164,Tayside
2013,S08000030,Emergency,45-64 years,Male,Cerebrovascular Disease,126,229.236787,229.7072061,Tayside
2013,S08000030,Emergency,45-64 years,Male,Stroke,79,143.7278268,144.2400886,Tayside
2013,S08000030,Emergency,45-64 years,Male,Subarachnoid Haemorrhage,12,21.83207496,21.6564706,Tayside
2013,S08000030,Emergency,45-64 years,Male,TIAs and related syndromes,22,40.02547075,40.06403337,Tayside
2013,S08000030,Emergency,45-64 years,Female,Cerebrovascular Disease,80,138.8888889,138.8979097,Tayside
2013,S08000030,Emergency,45-64 years,Female,Stroke,43,74.65277778,74.98408142,Tayside
2013,S08000030,Emergency,45-64 years,Female,Subarachnoid Haemorrhage,15,26.04166667,25.99468249,Tayside
2013,S08000030,Emergency,45-64 years,Female,TIAs and related syndromes,10,17.36111111,17.15759944,Tayside
2013,S08000030,Emergency,65-74 years,All,Cerebrovascular Disease,229,521.4025501,529.8046532,Tayside
2013,S08000030,Emergency,65-74 years,All,Stroke,152,346.0837887,354.2587305,Tayside
2013,S08000030,Emergency,65-74 years,All,Subarachnoid Haemorrhage,9,20.49180328,19.37288441,Tayside
2013,S08000030,Emergency,65-74 years,All,TIAs and related syndromes,39,88.79781421,88.95462419,Tayside
2013,S08000030,Emergency,65-74 years,Male,Cerebrovascular Disease,118,566.7082893,570.3211471,Tayside
2013,S08000030,Emergency,65-74 years,Male,Stroke,81,389.0116223,393.2518132,Tayside
2013,S08000030,Emergency,65-74 years,Male,Subarachnoid Haemorrhage,4,19.21045049,18.46665447,Tayside
2013,S08000030,Emergency,65-74 years,Male,TIAs and related syndromes,21,100.854865,99.940396,Tayside
2013,S08000030,Emergency,65-74 years,Female,Cerebrovascular Disease,111,480.5610875,489.2881593,Tayside
2013,S08000030,Emergency,65-74 years,Female,Stroke,71,307.3859209,315.2656478,Tayside
2013,S08000030,Emergency,65-74 years,Female,Subarachnoid Haemorrhage,5,21.64689584,20.27911436,Tayside
2013,S08000030,Emergency,65-74 years,Female,TIAs and related syndromes,18,77.92882501,77.96885239,Tayside
2013,S08000030,Emergency,under75 years,All,Cerebrovascular Disease,472,126.227509,125.8794908,Tayside
2013,S08000030,Emergency,under75 years,All,Stroke,294,78.62476199,78.56295615,Tayside
2013,S08000030,Emergency,under75 years,All,Subarachnoid Haemorrhage,46,12.30183351,12.38338741,Tayside
2013,S08000030,Emergency,under75 years,All,TIAs and related syndromes,76,20.3247684,20.11715721,Tayside
2013,S08000030,Emergency,under75 years,Male,Cerebrovascular Disease,258,139.7215317,141.3516636,Tayside
2013,S08000030,Emergency,under75 years,Male,Stroke,169,91.52301885,92.90023686,Tayside
2013,S08000030,Emergency,under75 years,Male,Subarachnoid Haemorrhage,17,9.206457518,9.174486579,Tayside
2013,S08000030,Emergency,under75 years,Male,TIAs and related syndromes,46,24.91159093,24.99315572,Tayside
2013,S08000030,Emergency,under75 years,Female,Cerebrovascular Disease,214,113.0630036,110.4073179,Tayside
2013,S08000030,Emergency,under75 years,Female,Stroke,125,66.04147405,64.22567543,Tayside
2013,S08000030,Emergency,under75 years,Female,Subarachnoid Haemorrhage,29,15.32162198,15.59228825,Tayside
2013,S08000030,Emergency,under75 years,Female,TIAs and related syndromes,30,15.84995377,15.24115871,Tayside
2013,S08000030,Emergency,75plus years,All,Cerebrovascular Disease,517,1352.270349,1372.381081,Tayside
2013,S08000030,Emergency,75plus years,All,Stroke,347,907.6166562,906.879256,Tayside
2013,S08000030,Emergency,75plus years,All,Subarachnoid Haemorrhage,5,13.0780498,9.94140792,Tayside
2013,S08000030,Emergency,75plus years,All,TIAs and related syndromes,90,235.4048964,243.2402682,Tayside
2013,S08000030,Emergency,75plus years,Male,Cerebrovascular Disease,224,1459.758879,1495.189655,Tayside
2013,S08000030,Emergency,75plus years,Male,Stroke,139,905.8325187,924.558266,Tayside
2013,S08000030,Emergency,75plus years,Male,Subarachnoid Haemorrhage,0,0,0,Tayside
2013,S08000030,Emergency,75plus years,Male,TIAs and related syndromes,48,312.8054741,306.0950819,Tayside
2013,S08000030,Emergency,75plus years,Female,Cerebrovascular Disease,293,1280.202735,1249.572507,Tayside
2013,S08000030,Emergency,75plus years,Female,Stroke,208,908.8128632,889.2002459,Tayside
2013,S08000030,Emergency,75plus years,Female,Subarachnoid Haemorrhage,5,21.84646306,19.88281584,Tayside
2013,S08000030,Emergency,75plus years,Female,TIAs and related syndromes,42,183.5102897,180.3854544,Tayside
2013,S08000030,Transfer,All,All,Cerebrovascular Disease,1234,299.3982919,297.9821848,Tayside
2013,S08000030,Transfer,All,All,Stroke,956,231.9487578,229.4615928,Tayside
2013,S08000030,Transfer,All,All,Subarachnoid Haemorrhage,68,16.4984472,16.06851484,Tayside
2013,S08000030,Transfer,All,All,TIAs and related syndromes,55,13.3443323,13.60572892,Tayside
2013,S08000030,Transfer,All,Male,Cerebrovascular Disease,578,289.00289,324.4923655,Tayside
2013,S08000030,Transfer,All,Male,Stroke,447,223.502235,249.5681067,Tayside
2013,S08000030,Transfer,All,Male,Subarachnoid Haemorrhage,22,11.00011,11.42724393,Tayside
2013,S08000030,Transfer,All,Male,TIAs and related syndromes,34,17.00017,19.021278,Tayside
2013,S08000030,Transfer,All,Female,Cerebrovascular Disease,656,309.1976886,271.4720042,Tayside
2013,S08000030,Transfer,All,Female,Stroke,509,239.9110114,209.3550789,Tayside
2013,S08000030,Transfer,All,Female,Subarachnoid Haemorrhage,46,21.68154523,20.709785750000002,Tayside
2013,S08000030,Transfer,All,Female,TIAs and related syndromes,21,9.898096737,8.190179851,Tayside
2013,S08000030,Transfer,0-44 years,All,Cerebrovascular Disease,38,17.47584424,19.34220345,Tayside
2013,S08000030,Transfer,0-44 years,All,Stroke,18,8.278031484,8.308348858,Tayside
2013,S08000030,Transfer,0-44 years,All,Subarachnoid Haemorrhage,13,5.978578294,7.532388435,Tayside
2013,S08000030,Transfer,0-44 years,All,TIAs and related syndromes,1,0.459890638,0.503337849,Tayside
2013,S08000030,Transfer,0-44 years,Male,Cerebrovascular Disease,19,17.45264821,20.32971292,Tayside
2013,S08000030,Transfer,0-44 years,Male,Stroke,8,7.348483457,8.05756605,Tayside
2013,S08000030,Transfer,0-44 years,Male,Subarachnoid Haemorrhage,5,4.59280216,6.211290351,Tayside
2013,S08000030,Transfer,0-44 years,Male,TIAs and related syndromes,1,0.918560432,1.006675698,Tayside
2013,S08000030,Transfer,0-44 years,Female,Cerebrovascular Disease,19,17.49910202,18.35469398,Tayside
2013,S08000030,Transfer,0-44 years,Female,Stroke,10,9.210053695,8.559131666,Tayside
2013,S08000030,Transfer,0-44 years,Female,Subarachnoid Haemorrhage,8,7.368042956,8.85348652,Tayside
2013,S08000030,Transfer,0-44 years,Female,TIAs and related syndromes,0,0,0,Tayside
2013,S08000030,Transfer,45-64 years,All,Cerebrovascular Disease,250,222.0939013,223.738984,Tayside
2013,S08000030,Transfer,45-64 years,All,Stroke,170,151.0238529,152.7466175,Tayside
2013,S08000030,Transfer,45-64 years,All,Subarachnoid Haemorrhage,35,31.09314618,30.75597001,Tayside
2013,S08000030,Transfer,45-64 years,All,TIAs and related syndromes,7,6.218629236,6.346680997,Tayside
2013,S08000030,Transfer,45-64 years,Male,Cerebrovascular Disease,145,263.8042391,264.7375719,Tayside
2013,S08000030,Transfer,45-64 years,Male,Stroke,106,192.8499955,193.787333,Tayside
2013,S08000030,Transfer,45-64 years,Male,Subarachnoid Haemorrhage,15,27.2900937,27.02165427,Tayside
2013,S08000030,Transfer,45-64 years,Male,TIAs and related syndromes,6,10.91603748,10.97757619,Tayside
2013,S08000030,Transfer,45-64 years,Female,Cerebrovascular Disease,105,182.2916667,182.7403961,Tayside
2013,S08000030,Transfer,45-64 years,Female,Stroke,64,111.1111111,111.7059019,Tayside
2013,S08000030,Transfer,45-64 years,Female,Subarachnoid Haemorrhage,20,34.72222222,34.49028574,Tayside
2013,S08000030,Transfer,45-64 years,Female,TIAs and related syndromes,1,1.736111111,1.715785801,Tayside
2013,S08000030,Transfer,65-74 years,All,Cerebrovascular Disease,247,562.3861566,573.5479266,Tayside
2013,S08000030,Transfer,65-74 years,All,Stroke,203,462.2040073,472.0949434,Tayside
2013,S08000030,Transfer,65-74 years,All,Subarachnoid Haemorrhage,7,15.93806922,14.48436079,Tayside
2013,S08000030,Transfer,65-74 years,All,TIAs and related syndromes,12,27.32240437,28.59649786,Tayside
2013,S08000030,Transfer,65-74 years,Male,Cerebrovascular Disease,123,590.7213524,596.3949252,Tayside
2013,S08000030,Transfer,65-74 years,Male,Stroke,105,504.2743252,509.4889401,Tayside
2013,S08000030,Transfer,65-74 years,Male,Subarachnoid Haemorrhage,2,9.605225243,8.68960723,Tayside
2013,S08000030,Transfer,65-74 years,Male,TIAs and related syndromes,8,38.42090097,39.10818896,Tayside
2013,S08000030,Transfer,65-74 years,Female,Cerebrovascular Disease,124,536.8430167,550.7009279,Tayside
2013,S08000030,Transfer,65-74 years,Female,Stroke,98,424.27915839999997,434.7009467,Tayside
2013,S08000030,Transfer,65-74 years,Female,Subarachnoid Haemorrhage,5,21.64689584,20.27911436,Tayside
2013,S08000030,Transfer,65-74 years,Female,TIAs and related syndromes,4,17.31751667,18.08480675,Tayside
2013,S08000030,Transfer,under75 years,All,Cerebrovascular Disease,535,143.0756723,142.811157,Tayside
2013,S08000030,Transfer,under75 years,All,Stroke,391,104.5655848,103.8838803,Tayside
2013,S08000030,Transfer,under75 years,All,Subarachnoid Haemorrhage,55,14.70871398,15.09745021,Tayside
2013,S08000030,Transfer,under75 years,All,TIAs and related syndromes,20,5.348623264,5.446489206,Tayside
2013,S08000030,Transfer,under75 years,Male,Cerebrovascular Disease,287,155.4266652,157.972493,Tayside
2013,S08000030,Transfer,under75 years,Male,Stroke,219,118.6008351,120.0011732,Tayside
2013,S08000030,Transfer,under75 years,Male,Subarachnoid Haemorrhage,22,11.91423914,12.55741091,Tayside
2013,S08000030,Transfer,under75 years,Male,TIAs and related syndromes,15,8.123344868,8.306618031,Tayside
2013,S08000030,Transfer,under75 years,Female,Cerebrovascular Disease,248,131.0262845,127.649821,Tayside
2013,S08000030,Transfer,under75 years,Female,Stroke,172,90.87306829,87.76658738,Tayside
2013,S08000030,Transfer,under75 years,Female,Subarachnoid Haemorrhage,33,17.43494915,17.63748951,Tayside
2013,S08000030,Transfer,under75 years,Female,TIAs and related syndromes,5,2.641658962,2.586360381,Tayside
2013,S08000030,Transfer,75plus years,All,Cerebrovascular Disease,699,1828.311362,1866.933688,Tayside
2013,S08000030,Transfer,75plus years,All,Stroke,565,1477.819628,1499.191797,Tayside
2013,S08000030,Transfer,75plus years,All,Subarachnoid Haemorrhage,13,34.00292948,25.8870572,Tayside
2013,S08000030,Transfer,75plus years,All,TIAs and related syndromes,35,91.54634861,96.10470829,Tayside
2013,S08000030,Transfer,75plus years,Male,Cerebrovascular Disease,291,1896.383187,2008.193298,Tayside
2013,S08000030,Transfer,75plus years,Male,Stroke,228,1485.826002,1559.633767,Tayside
2013,S08000030,Transfer,75plus years,Male,Subarachnoid Haemorrhage,0,0,0,Tayside
2013,S08000030,Transfer,75plus years,Male,TIAs and related syndromes,19,123.8188335,127.3583954,Tayside
2013,S08000030,Transfer,75plus years,Female,Cerebrovascular Disease,408,1782.671386,1725.674078,Tayside
2013,S08000030,Transfer,75plus years,Female,Stroke,337,1472.45161,1438.749827,Tayside
2013,S08000030,Transfer,75plus years,Female,Subarachnoid Haemorrhage,13,56.80080395,51.77411441,Tayside
2013,S08000030,Transfer,75plus years,Female,TIAs and related syndromes,16,69.90868178,64.85102116,Tayside
2013,S08000021,All,All,All,Cerebrovascular Disease,7138,627.2848706,720.0975622,NA
2013,S08000021,All,All,All,Stroke,4541,399.0614454,461.360004,NA
2013,S08000021,All,All,All,Subarachnoid Haemorrhage,392,34.4488189,36.24762215,NA
2013,S08000021,All,All,All,TIAs and related syndromes,1101,96.75548369,110.848082,NA
2013,S08000021,All,All,Male,Cerebrovascular Disease,3300,602.3612561,772.9824256,NA
2013,S08000021,All,All,Male,Stroke,2149,392.2649513,506.415674,NA
2013,S08000021,All,All,Male,Subarachnoid Haemorrhage,165,30.11806281,32.34165298,NA
2013,S08000021,All,All,Male,TIAs and related syndromes,500,91.26685699,117.317073,NA
2013,S08000021,All,All,Female,Cerebrovascular Disease,3838,650.4246911,667.2126988,NA
2013,S08000021,All,All,Female,Stroke,2392,405.3715115,416.304334,NA
2013,S08000021,All,All,Female,Subarachnoid Haemorrhage,227,38.46962086,40.15359131,NA
2013,S08000021,All,All,Female,TIAs and related syndromes,601,101.851287,104.3790911,NA
2013,S08000021,All,0-44 years,All,Cerebrovascular Disease,322,49.51697879,51.00561292,NA
2013,S08000021,All,0-44 years,All,Stroke,163,25.06604827,25.51945361,NA
2013,S08000021,All,0-44 years,All,Subarachnoid Haemorrhage,59,9.072986796,9.498990876,NA
2013,S08000021,All,0-44 years,All,TIAs and related syndromes,26,3.998265368,4.304105617,NA
2013,S08000021,All,0-44 years,Male,Cerebrovascular Disease,160,49.35758024,51.88303594,NA
2013,S08000021,All,0-44 years,Male,Stroke,75,23.13636574,24.82609451,NA
2013,S08000021,All,0-44 years,Male,Subarachnoid Haemorrhage,37,11.41394043,11.78439392,NA
2013,S08000021,All,0-44 years,Male,TIAs and related syndromes,13,4.010303395,4.537876824,NA
2013,S08000021,All,0-44 years,Female,Cerebrovascular Disease,162,49.67542324,50.12818989,NA
2013,S08000021,All,0-44 years,Female,Stroke,88,26.98418052,26.21281272,NA
2013,S08000021,All,0-44 years,Female,Subarachnoid Haemorrhage,22,6.746045131,7.213587832,NA
2013,S08000021,All,0-44 years,Female,TIAs and related syndromes,13,3.986299396,4.070334411,NA
2013,S08000021,All,45-64 years,All,Cerebrovascular Disease,1943,640.8797501,662.8384633,NA
2013,S08000021,All,45-64 years,All,Stroke,1047,345.3428195,361.6584072,NA
2013,S08000021,All,45-64 years,All,Subarachnoid Haemorrhage,211,69.59630843,69.34079914,NA
2013,S08000021,All,45-64 years,All,TIAs and related syndromes,322,106.2085844,109.2675259,NA
2013,S08000021,All,45-64 years,Male,Cerebrovascular Disease,1066,730.3771103,751.0591044,NA
2013,S08000021,All,45-64 years,Male,Stroke,655,448.7776803,462.9471969,NA
2013,S08000021,All,45-64 years,Male,Subarachnoid Haemorrhage,97,66.4602061,67.18485061,NA
2013,S08000021,All,45-64 years,Male,TIAs and related syndromes,155,106.1992984,109.1306085,NA
2013,S08000021,All,45-64 years,Female,Cerebrovascular Disease,877,557.7993322,574.6178222,NA
2013,S08000021,All,45-64 years,Female,Stroke,392,249.3242169,260.3696175,NA
2013,S08000021,All,45-64 years,Female,Subarachnoid Haemorrhage,114,72.50755287,71.49674767,NA
2013,S08000021,All,45-64 years,Female,TIAs and related syndromes,167,106.2172046,109.4044433,NA
2013,S08000021,All,65-74 years,All,Cerebrovascular Disease,1617,1644.395631,1697.21113,NA
2013,S08000021,All,65-74 years,All,Stroke,1095,1113.551773,1153.503078,NA
2013,S08000021,All,65-74 years,All,Subarachnoid Haemorrhage,71,72.20290032,71.60902515,NA
2013,S08000021,All,65-74 years,All,TIAs and related syndromes,258,262.3711026,269.2903924,NA
2013,S08000021,All,65-74 years,Male,Cerebrovascular Disease,878,1927.594459,1968.485333,NA
2013,S08000021,All,65-74 years,Male,Stroke,611,1341.412545,1372.577122,NA
2013,S08000021,All,65-74 years,Male,Subarachnoid Haemorrhage,18,39.51788184,41.21720463,NA
2013,S08000021,All,65-74 years,Male,TIAs and related syndromes,148,324.9248063,326.2588894,NA
2013,S08000021,All,65-74 years,Female,Cerebrovascular Disease,739,1400.018945,1425.936927,NA
2013,S08000021,All,65-74 years,Female,Stroke,484,916.9271573,934.4290331,NA
2013,S08000021,All,65-74 years,Female,Subarachnoid Haemorrhage,53,100.4073127,102.0008457,NA
2013,S08000021,All,65-74 years,Female,TIAs and related syndromes,110,208.3925358,212.3218954,NA
2013,S08000021,All,under75 years,All,Cerebrovascular Disease,3882,369.0840308,419.1235081,NA
2013,S08000021,All,under75 years,All,Stroke,2305,219.1495855,253.5580286,NA
2013,S08000021,All,under75 years,All,Subarachnoid Haemorrhage,341,32.42082805,34.09199394,NA
2013,S08000021,All,under75 years,All,TIAs and related syndromes,606,57.61589971,65.44571715,NA
2013,S08000021,All,under75 years,Male,Cerebrovascular Disease,2104,408.0160414,476.6356725,NA
2013,S08000021,All,under75 years,Male,Stroke,1341,260.0520492,307.9205451,NA
2013,S08000021,All,under75 years,Male,Subarachnoid Haemorrhage,152,29.47644405,31.31358749,NA
2013,S08000021,All,under75 years,Male,TIAs and related syndromes,316,61.2799758,72.11785507,NA
2013,S08000021,All,under75 years,Female,Cerebrovascular Disease,1778,331.6378395,361.6113437,NA
2013,S08000021,All,under75 years,Female,Stroke,964,179.8081425,199.1955121,NA
2013,S08000021,All,under75 years,Female,Subarachnoid Haemorrhage,189,35.25284121,36.87040039,NA
2013,S08000021,All,under75 years,Female,TIAs and related syndromes,290,54.09166112,58.77357922,NA
2013,S08000021,All,75plus years,All,Cerebrovascular Disease,3256,3780.463734,3763.279665,NA
2013,S08000021,All,75plus years,All,Stroke,2236,2596.166127,2562.468867,NA
2013,S08000021,All,75plus years,All,Subarachnoid Haemorrhage,51,59.21488035,58.04341845,NA
2013,S08000021,All,75plus years,All,TIAs and related syndromes,495,574.7326622,569.9164382,NA
2013,S08000021,All,75plus years,Male,Cerebrovascular Disease,1196,3716.82516,3769.377374,NA
2013,S08000021,All,75plus years,Male,Stroke,808,2511.032382,2513.421977,NA
2013,S08000021,All,75plus years,Male,Subarachnoid Haemorrhage,13,40.40027348,42.7365374,NA
2013,S08000021,All,75plus years,Male,TIAs and related syndromes,184,571.8192554,574.3313873,NA
2013,S08000021,All,75plus years,Female,Cerebrovascular Disease,2060,3818.421101,3757.181957,NA
2013,S08000021,All,75plus years,Female,Stroke,1428,2646.944336,2611.515756,NA
2013,S08000021,All,75plus years,Female,Subarachnoid Haemorrhage,38,70.4368941,73.3502995,NA
2013,S08000021,All,75plus years,Female,TIAs and related syndromes,311,576.4703702,565.501489,NA
2013,S08000021,Elective,All,All,Cerebrovascular Disease,303,26.62753093,29.3380284,NA
2013,S08000021,Elective,All,All,Stroke,72,6.327334083,7.372083751,NA
2013,S08000021,Elective,All,All,Subarachnoid Haemorrhage,10,0.8787964,0.837209356,NA
2013,S08000021,Elective,All,All,TIAs and related syndromes,30,2.636389201,3.274631256,NA
2013,S08000021,Elective,All,Male,Cerebrovascular Disease,146,26.64992224,31.39576456,NA
2013,S08000021,Elective,All,Male,Stroke,40,7.301348559,8.972651734,NA
2013,S08000021,Elective,All,Male,Subarachnoid Haemorrhage,6,1.095202284,1.036084246,NA
2013,S08000021,Elective,All,Male,TIAs and related syndromes,18,3.285606852,4.397066024,NA
2013,S08000021,Elective,All,Female,Cerebrovascular Disease,157,26.60674218,27.28029224,NA
2013,S08000021,Elective,All,Female,Stroke,32,5.423030254,5.771515769,NA
2013,S08000021,Elective,All,Female,Subarachnoid Haemorrhage,4,0.677878782,0.638334467,NA
2013,S08000021,Elective,All,Female,TIAs and related syndromes,12,2.033636345,2.152196487,NA
2013,S08000021,Elective,0-44 years,All,Cerebrovascular Disease,42,6.458736364,6.693347441,NA
2013,S08000021,Elective,0-44 years,All,Stroke,7,1.076456061,1.081624335,NA
2013,S08000021,Elective,0-44 years,All,Subarachnoid Haemorrhage,5,0.768897186,0.736473866,NA
2013,S08000021,Elective,0-44 years,All,TIAs and related syndromes,0,0,0,NA
2013,S08000021,Elective,0-44 years,Male,Cerebrovascular Disease,12,3.701818518,3.819377664,NA
2013,S08000021,Elective,0-44 years,Male,Stroke,2,0.616969753,0.602009398,NA
2013,S08000021,Elective,0-44 years,Male,Subarachnoid Haemorrhage,3,0.92545463,0.901195085,NA
2013,S08000021,Elective,0-44 years,Male,TIAs and related syndromes,0,0,0,NA
2013,S08000021,Elective,0-44 years,Female,Cerebrovascular Disease,30,9.199152451,9.567317217,NA
2013,S08000021,Elective,0-44 years,Female,Stroke,5,1.533192075,1.561239273,NA
2013,S08000021,Elective,0-44 years,Female,Subarachnoid Haemorrhage,2,0.61327683,0.571752647,NA
2013,S08000021,Elective,0-44 years,Female,TIAs and related syndromes,0,0,0,NA
2013,S08000021,Elective,45-64 years,All,Cerebrovascular Disease,137,45.18812443,45.55461253,NA
2013,S08000021,Elective,45-64 years,All,Stroke,14,4.61776454,4.91508516,NA
2013,S08000021,Elective,45-64 years,All,Subarachnoid Haemorrhage,5,1.649201621,1.658541391,NA
2013,S08000021,Elective,45-64 years,All,TIAs and related syndromes,9,2.968562919,2.953676613,NA
2013,S08000021,Elective,45-64 years,Male,Cerebrovascular Disease,61,41.7945626,42.51741361,NA
2013,S08000021,Elective,45-64 years,Male,Stroke,11,7.536724403,7.715499427,NA
2013,S08000021,Elective,45-64 years,Male,Subarachnoid Haemorrhage,3,2.055470292,2.073354338,NA
2013,S08000021,Elective,45-64 years,Male,TIAs and related syndromes,6,4.110940583,4.113590261,NA
2013,S08000021,Elective,45-64 years,Female,Cerebrovascular Disease,76,48.33836858,48.59181145,NA
2013,S08000021,Elective,45-64 years,Female,Stroke,3,1.908093497,2.114670893,NA
2013,S08000021,Elective,45-64 years,Female,Subarachnoid Haemorrhage,2,1.272062331,1.243728444,NA
2013,S08000021,Elective,45-64 years,Female,TIAs and related syndromes,3,1.908093497,1.793762966,NA
2013,S08000021,Elective,65-74 years,All,Cerebrovascular Disease,65,66.10124677,68.43134088,NA
2013,S08000021,Elective,65-74 years,All,Stroke,25,25.42355645,26.15234284,NA
2013,S08000021,Elective,65-74 years,All,Subarachnoid Haemorrhage,0,0,0,NA
2013,S08000021,Elective,65-74 years,All,TIAs and related syndromes,12,12.2033071,12.99514646,NA
2013,S08000021,Elective,65-74 years,Male,Cerebrovascular Disease,41,90.01295308,91.37256398,NA
2013,S08000021,Elective,65-74 years,Male,Stroke,14,30.73613032,31.28518927,NA
2013,S08000021,Elective,65-74 years,Male,Subarachnoid Haemorrhage,0,0,0,NA
2013,S08000021,Elective,65-74 years,Male,TIAs and related syndromes,7,15.36806516,16.38763702,NA
2013,S08000021,Elective,65-74 years,Female,Cerebrovascular Disease,24,45.46746235,45.49011778,NA
2013,S08000021,Elective,65-74 years,Female,Stroke,11,20.83925358,21.01949641,NA
2013,S08000021,Elective,65-74 years,Female,Subarachnoid Haemorrhage,0,0,0,NA
2013,S08000021,Elective,65-74 years,Female,TIAs and related syndromes,5,9.472387989,9.6026559,NA
2013,S08000021,Elective,under75 years,All,Cerebrovascular Disease,244,23.19848107,25.1337041,NA
2013,S08000021,Elective,under75 years,All,Stroke,46,4.373484136,5.090737041,NA
2013,S08000021,Elective,under75 years,All,Subarachnoid Haemorrhage,10,0.950757421,0.920010281,NA
2013,S08000021,Elective,under75 years,All,TIAs and related syndromes,21,1.996590584,2.359576572,NA
2013,S08000021,Elective,under75 years,Male,Cerebrovascular Disease,114,22.10733304,25.19087666,NA
2013,S08000021,Elective,under75 years,Male,Stroke,27,5.235947299,6.213887139,NA
2013,S08000021,Elective,under75 years,Male,Subarachnoid Haemorrhage,6,1.163543844,1.138554116,NA
2013,S08000021,Elective,under75 years,Male,TIAs and related syndromes,13,2.521011663,3.088794842,NA
2013,S08000021,Elective,under75 years,Female,Cerebrovascular Disease,130,24.24798602,25.07653154,NA
2013,S08000021,Elective,under75 years,Female,Stroke,19,3.543936418,3.967586942,NA
2013,S08000021,Elective,under75 years,Female,Subarachnoid Haemorrhage,4,0.746091877,0.701466447,NA
2013,S08000021,Elective,under75 years,Female,TIAs and related syndromes,8,1.492183755,1.630358303,NA
2013,S08000021,Elective,75plus years,All,Cerebrovascular Disease,59,68.50348903,71.8484185,NA
2013,S08000021,Elective,75plus years,All,Stroke,26,30.18797822,30.43903382,NA
2013,S08000021,Elective,75plus years,All,Subarachnoid Haemorrhage,0,0,0,NA
2013,S08000021,Elective,75plus years,All,TIAs and related syndromes,9,10.44968477,12.52685083,NA
2013,S08000021,Elective,75plus years,Male,Cerebrovascular Disease,32,99.44682702,94.13407548,NA
2013,S08000021,Elective,75plus years,Male,Stroke,13,40.40027348,36.86682708,NA
2013,S08000021,Elective,75plus years,Male,Subarachnoid Haemorrhage,0,0,0,NA
2013,S08000021,Elective,75plus years,Male,TIAs and related syndromes,5,15.53856672,17.6251413,NA
2013,S08000021,Elective,75plus years,Female,Cerebrovascular Disease,27,50.04726686,49.56276152,NA
2013,S08000021,Elective,75plus years,Female,Stroke,13,24.09683219,24.01124057,NA
2013,S08000021,Elective,75plus years,Female,Subarachnoid Haemorrhage,0,0,0,NA
2013,S08000021,Elective,75plus years,Female,TIAs and related syndromes,4,7.414409906,7.428560355,NA
2013,S08000021,Emergency,All,All,Cerebrovascular Disease,2667,234.375,270.6851569,NA
2013,S08000021,Emergency,All,All,Stroke,1654,145.3529246,168.6910653,NA
2013,S08000021,Emergency,All,All,Subarachnoid Haemorrhage,110,9.666760405,10.50658869,NA
2013,S08000021,Emergency,All,All,TIAs and related syndromes,596,52.37626547,59.86793571,NA
2013,S08000021,Emergency,All,Male,Cerebrovascular Disease,1263,230.5400808,296.3273983,NA
2013,S08000021,Emergency,All,Male,Stroke,804,146.757106,189.2798737,NA
2013,S08000021,Emergency,All,Male,Subarachnoid Haemorrhage,45,8.214017129,9.533489665,NA
2013,S08000021,Emergency,All,Male,TIAs and related syndromes,275,50.19677134,63.71960305,NA
2013,S08000021,Emergency,All,Female,Cerebrovascular Disease,1404,237.9354524,245.0429155,NA
2013,S08000021,Emergency,All,Female,Stroke,850,144.0492411,148.1022568,NA
